start_learning_rate,l2_weight,size_factor,train_loss,val_loss,train_acc,val_acc
1e-05,0.0,1.0,0.8655372262001038,0.8740403652191162,0.6942592859268188,0.6825925707817078
1e-05,0.0,2.0,0.7044646739959717,0.7239956855773926,0.7491666674613953,0.7355555295944214
1e-05,0.0,3.0,0.6080108284950256,0.6391903162002563,0.7811111211776733,0.7688888907432556
1e-05,1e-05,1.0,0.7926961183547974,0.7966142892837524,0.7214351892471313,0.7170370221138
1e-05,1e-05,2.0,0.6729435920715332,0.6945815086364746,0.7644444704055786,0.7548148036003113
1e-05,1e-05,3.0,0.586704671382904,0.6170376539230347,0.792129635810852,0.7803703546524048
1e-05,0.0001,1.0,0.8676375150680542,0.8836961984634399,0.7077777981758118,0.6977777481079102
1e-05,0.0001,2.0,0.6708564162254333,0.7030422687530518,0.7801389098167419,0.7622222304344177
1e-05,0.0001,3.0,0.6688613295555115,0.7027056813240051,0.7924073934555054,0.7696296572685242
0.0001,0.0,1.0,0.4699864685535431,0.5591779947280884,0.8309721946716309,0.7948148250579834
0.0001,0.0,2.0,0.2923702597618103,0.4537350833415985,0.9019907116889954,0.8407407402992249
0.0001,0.0,3.0,0.33010226488113403,0.46086999773979187,0.889212965965271,0.8407407402992249
0.0001,1e-05,1.0,0.5967020988464355,0.6144095659255981,0.7944444417953491,0.7740740776062012
0.0001,1e-05,2.0,0.3716818392276764,0.4786047339439392,0.8690277934074402,0.8255555629730225
0.0001,1e-05,3.0,0.4230579435825348,0.5039392709732056,0.8535647988319397,0.8188889026641846
0.0001,0.0001,1.0,0.4725106358528137,0.5683122873306274,0.8483796119689941,0.8159258961677551
0.0001,0.0001,2.0,0.5001516342163086,0.5729376077651978,0.839212954044342,0.8096296191215515
0.0001,0.0001,3.0,0.3524337410926819,0.5094881653785706,0.902916669845581,0.8411111235618591
0.001,0.0,1.0,0.36049729585647583,0.6491436958312988,0.873796284198761,0.7792592644691467
0.001,0.0,2.0,0.2630273103713989,0.6001973152160645,0.9112036824226379,0.7988888621330261
0.001,0.0,3.0,0.3732026219367981,0.5655412077903748,0.8642592430114746,0.7988888621330261
0.001,1e-05,1.0,0.4201887249946594,0.582538366317749,0.8510185480117798,0.8029629588127136
0.001,1e-05,2.0,0.4063986539840698,0.6213788390159607,0.8658333420753479,0.7925925850868225
0.001,1e-05,3.0,0.3219990134239197,0.5787186622619629,0.8923611044883728,0.7951852083206177
0.001,0.0001,1.0,0.44527506828308105,0.5870143175125122,0.8610647916793823,0.813703715801239
0.001,0.0001,2.0,0.47907838225364685,0.6421360373497009,0.8476389050483704,0.7851851582527161
0.001,0.0001,3.0,0.4868932068347931,0.6740666627883911,0.8729166388511658,0.8081481456756592
